area_type,location,bath,price,bhk,area,price_per_sqft
Built-up  Area,1st Block HRBR Layout,3.0,80.0,3,2300.0,3478.2608695652175
Super built-up  Area,1st Block HRBR Layout,2.0,67.0,2,1250.0,5360.0
Super built-up  Area,1st Block Jayanagar,4.0,428.0,4,2850.0,15017.543859649122
Super built-up  Area,1st Block Jayanagar,3.0,194.0,3,1630.0,11901.840490797545
Super built-up  Area,1st Block Jayanagar,2.0,235.0,3,1875.0,12533.333333333334
Built-up  Area,1st Block Jayanagar,2.0,130.0,3,1200.0,10833.333333333334
Super built-up  Area,1st Block Jayanagar,2.0,148.0,2,1235.0,11983.805668016194
Super built-up  Area,1st Block Jayanagar,4.0,413.0,4,2750.0,15018.181818181818
Super built-up  Area,1st Block Jayanagar,4.0,368.0,4,2450.0,15020.408163265307
Built-up  Area,1st Block Koramangala,2.0,110.0,2,1415.0,7773.851590106007
Built-up  Area,1st Block Koramangala,2.0,65.5,2,860.0,7616.279069767442
Super built-up  Area,1st Block Koramangala,3.0,300.0,4,3000.0,10000.0
Built-up  Area,1st Block Koramangala,3.0,210.0,3,2350.0,8936.170212765957
Super built-up  Area,1st Block Koramangala,5.0,500.0,4,3000.0,16666.666666666668
Super built-up  Area,1st Phase JP Nagar,4.0,250.0,4,2825.0,8849.557522123894
Super built-up  Area,1st Phase JP Nagar,3.0,167.0,3,1875.0,8906.666666666666
Built-up  Area,1st Phase JP Nagar,5.0,85.0,5,1500.0,5666.666666666667
Super built-up  Area,1st Phase JP Nagar,4.0,210.0,3,2065.0,10169.49152542373
Super built-up  Area,1st Phase JP Nagar,3.0,157.0,3,2024.0,7756.916996047431
Super built-up  Area,1st Phase JP Nagar,3.0,225.0,3,2059.0,10927.634774162214
Super built-up  Area,1st Phase JP Nagar,2.0,100.0,2,1394.0,7173.601147776184
Super built-up  Area,1st Phase JP Nagar,2.0,93.0,2,1077.0,8635.097493036212
Plot  Area,1st Phase JP Nagar,2.0,180.0,2,1566.0,11494.252873563219
Built-up  Area,1st Phase JP Nagar,2.0,50.0,1,840.0,5952.380952380952
Super built-up  Area,1st Phase JP Nagar,3.0,131.0,3,1590.0,8238.993710691824
Super built-up  Area,1st Phase JP Nagar,3.0,210.0,3,2180.0,9633.02752293578
Super built-up  Area,1st Phase JP Nagar,2.0,88.5,2,1180.0,7500.0
Super built-up  Area,1st Phase JP Nagar,2.0,86.0,2,1200.0,7166.666666666667
Built-up  Area,1st Phase JP Nagar,2.0,85.0,2,1394.0,6097.5609756097565
Super built-up  Area,1st Phase JP Nagar,3.0,175.0,3,2077.0,8425.613866153106
Super built-up  Area,1st Phase JP Nagar,2.0,240.0,4,4550.0,5274.725274725275
Super built-up  Area,1st Phase JP Nagar,2.0,85.0,2,1205.0,7053.941908713693
Super built-up  Area,1st Phase JP Nagar,5.0,222.0,4,2615.0,8489.483747609942
Super built-up  Area,1st Phase JP Nagar,2.0,75.0,2,900.0,8333.333333333334
Built-up  Area,1st Stage Indira Nagar,2.0,67.0,2,1400.0,4785.714285714285
Super built-up  Area,1st Stage Indira Nagar,2.0,55.0,2,1200.0,4583.333333333333
Built-up  Area,1st Stage Indira Nagar,2.0,56.0,2,940.0,5957.446808510638
Super built-up  Area,1st Stage Indira Nagar,4.0,301.0,4,3000.0,10033.333333333334
Built-up  Area,2nd Block Hrbr Layout,3.0,90.0,3,1480.0,6081.081081081081
Super built-up  Area,2nd Block Hrbr Layout,3.0,90.0,3,1480.0,6081.081081081081
Super built-up  Area,2nd Block Hrbr Layout,3.0,110.0,3,1550.0,7096.774193548387
Plot  Area,2nd Block Hrbr Layout,4.0,235.0,4,1350.0,17407.40740740741
Super built-up  Area,2nd Block Jayanagar,3.0,223.0,3,1718.0,12980.209545983702
Built-up  Area,2nd Block Jayanagar,2.0,97.0,2,1000.0,9700.0
Super built-up  Area,2nd Phase JP Nagar,4.0,200.0,5,2800.0,7142.857142857143
Super built-up  Area,2nd Phase JP Nagar,1.0,55.0,2,1000.0,5500.0
Built-up  Area,2nd Phase JP Nagar,2.0,78.0,2,1040.0,7500.0
Super built-up  Area,2nd Phase JP Nagar,2.0,42.5,2,850.0,5000.0
Super built-up  Area,2nd Phase Judicial Layout,2.0,50.75,3,1450.0,3500.0
Super built-up  Area,2nd Phase Judicial Layout,2.0,40.25,2,1150.0,3500.0
Super built-up  Area,2nd Phase Judicial Layout,2.0,47.25,3,1350.0,3500.0
Super built-up  Area,2nd Phase Judicial Layout,2.0,47.25,3,1350.0,3500.0
Super built-up  Area,2nd Phase Judicial Layout,2.0,41.0,2,900.0,4555.555555555556
Super built-up  Area,2nd Phase Judicial Layout,3.0,69.0,3,1681.0,4104.699583581201
Super built-up  Area,2nd Phase Judicial Layout,2.0,47.25,3,1350.0,3500.0
Super built-up  Area,2nd Phase Judicial Layout,2.0,40.25,2,1150.0,3500.0
Plot  Area,2nd Stage Arekere Mico Layout,4.0,130.0,4,1200.0,10833.333333333334
Plot  Area,2nd Stage Nagarbhavi,4.0,220.0,4,1500.0,14666.666666666666
Plot  Area,2nd Stage Nagarbhavi,8.0,451.0,6,3000.0,15033.333333333334
Plot  Area,2nd Stage Nagarbhavi,8.0,450.0,6,2400.0,18750.0
Plot  Area,2nd Stage Nagarbhavi,4.0,200.0,4,1350.0,14814.814814814816
Plot  Area,2nd Stage Nagarbhavi,4.0,225.0,4,1200.0,18750.0
Plot  Area,2nd Stage Nagarbhavi,3.0,230.0,4,1500.0,15333.333333333334
Plot  Area,3rd Block Banashankari,8.0,650.0,6,2400.0,27083.333333333332
Plot  Area,3rd Block Banashankari,4.0,175.0,4,1200.0,14583.333333333334
Plot  Area,3rd Block Banashankari,4.0,325.0,5,2400.0,13541.666666666666
Super built-up  Area,3rd Block Hrbr Layout,2.0,80.0,2,1056.0,7575.757575757576
Built-up  Area,3rd Block Hrbr Layout,2.0,90.0,2,1320.0,6818.181818181818
Built-up  Area,3rd Block Hrbr Layout,2.0,95.0,2,1300.0,7307.692307692308
Built-up  Area,3rd Block Hrbr Layout,3.0,140.0,3,1650.0,8484.848484848484
Built-up  Area,3rd Block Jayanagar,3.0,240.0,3,2150.0,11162.790697674418
Super built-up  Area,3rd Block Koramangala,3.0,270.0,3,2100.0,12857.142857142857
Built-up  Area,3rd Phase JP Nagar,4.0,345.0,4,4500.0,7666.666666666667
Super built-up  Area,4th Block Jayanagar,2.0,70.0,2,900.0,7777.777777777777
Super built-up  Area,4th Block Jayanagar,3.0,240.0,3,2005.0,11970.074812967581
Super built-up  Area,4th Block Jayanagar,2.0,190.0,3,1567.2,12123.532414497193
Super built-up  Area,4th Block Koramangala,2.0,150.0,2,1225.0,12244.897959183674
Carpet  Area,4th Block Koramangala,9.0,500.0,9,4500.0,11111.111111111111
Built-up  Area,4th Block Koramangala,3.0,140.0,3,1800.0,7777.777777777777
Super built-up  Area,4th Block Koramangala,6.0,420.0,4,3400.0,12352.941176470587
Super built-up  Area,4th Block Koramangala,2.0,97.0,2,1269.0,7643.81402679275
Super built-up  Area,4th Phase JP Nagar,2.0,38.9,2,1070.0,3635.5140186915887
Super built-up  Area,4th Phase JP Nagar,2.0,38.0,2,1080.0,3518.5185185185187
Super built-up  Area,4th Phase JP Nagar,4.0,70.0,2,600.0,11666.666666666666
Super built-up  Area,4th T block Jayanagar,3.0,185.0,3,2401.0,7705.12286547272
Built-up  Area,4th T block Jayanagar,4.0,333.0,4,3900.0,8538.461538461539
Built-up  Area,4th T block Jayanagar,4.0,120.0,4,1550.0,7741.935483870968
Super built-up  Area,4th T block Jayanagar,3.0,220.0,3,2100.0,10476.190476190477
Super built-up  Area,4th T block Jayanagar,3.0,185.0,3,2400.0,7708.333333333333
Super built-up  Area,5th Block Hbr Layout,2.0,56.0,2,1206.0,4643.449419568822
Super built-up  Area,5th Block Hbr Layout,2.0,70.0,3,1270.0,5511.811023622047
Super built-up  Area,5th Block Hbr Layout,2.0,69.0,2,1312.0,5259.1463414634145
Super built-up  Area,5th Block Hbr Layout,2.0,48.0,2,1100.0,4363.636363636364
Built-up  Area,5th Block Hbr Layout,5.0,130.0,5,3600.0,3611.1111111111113
Built-up  Area,5th Block Hbr Layout,5.0,300.0,6,5100.0,5882.35294117647
Super built-up  Area,5th Phase JP Nagar,2.0,60.0,2,1075.0,5581.395348837209
Built-up  Area,5th Phase JP Nagar,3.0,52.5,2,1150.0,4565.217391304348
Built-up  Area,5th Phase JP Nagar,2.0,62.8,2,1256.0,5000.0
Super built-up  Area,5th Phase JP Nagar,2.0,63.0,2,1207.0,5219.552609776305
Built-up  Area,5th Phase JP Nagar,2.0,100.0,3,1725.0,5797.101449275362
Super built-up  Area,5th Phase JP Nagar,2.0,60.0,2,1440.0,4166.666666666667
Built-up  Area,5th Phase JP Nagar,2.0,100.0,3,1700.0,5882.35294117647
Super built-up  Area,5th Phase JP Nagar,2.0,67.0,3,1485.0,4511.784511784512
Super built-up  Area,5th Phase JP Nagar,5.0,110.0,5,2500.0,4400.0
Built-up  Area,5th Phase JP Nagar,1.0,30.0,1,600.0,5000.0
Super built-up  Area,5th Phase JP Nagar,2.0,65.0,2,1390.0,4676.258992805755
Built-up  Area,5th Phase JP Nagar,2.0,62.8,2,1256.0,5000.0
Super built-up  Area,5th Phase JP Nagar,2.0,48.0,2,1000.0,4800.0
Super built-up  Area,5th Phase JP Nagar,2.0,75.0,3,1350.0,5555.555555555556
Super built-up  Area,5th Phase JP Nagar,1.0,23.5,1,552.0,4257.246376811594
Super built-up  Area,5th Phase JP Nagar,2.0,51.0,2,1200.0,4250.0
Super built-up  Area,5th Phase JP Nagar,3.0,60.0,3,1240.0,4838.709677419355
Built-up  Area,5th Phase JP Nagar,3.0,75.0,3,1550.0,4838.709677419355
Super built-up  Area,5th Phase JP Nagar,2.0,66.0,3,1485.0,4444.444444444444
Built-up  Area,5th Phase JP Nagar,2.0,57.0,2,1030.0,5533.980582524272
Super built-up  Area,5th Phase JP Nagar,2.0,68.0,2,1200.0,5666.666666666667
Built-up  Area,5th Phase JP Nagar,2.0,61.8,2,1190.0,5193.27731092437
Super built-up  Area,5th Phase JP Nagar,5.0,170.0,5,4000.0,4250.0
Super built-up  Area,5th Phase JP Nagar,2.0,53.0,2,1080.0,4907.407407407408
Super built-up  Area,5th Phase JP Nagar,2.0,54.0,2,1041.0,5187.319884726225
Super built-up  Area,5th Phase JP Nagar,2.0,42.0,2,812.0,5172.413793103448
Built-up  Area,5th Phase JP Nagar,2.0,57.0,2,1010.0,5643.564356435643
Super built-up  Area,5th Phase JP Nagar,2.0,73.0,3,1450.0,5034.482758620689
Super built-up  Area,5th Phase JP Nagar,2.0,60.0,2,1075.0,5581.395348837209
Super built-up  Area,5th Stage BEML Layout,3.0,85.0,3,2000.0,4250.0
Super built-up  Area,5th Stage BEML Layout,3.0,85.0,3,2000.0,4250.0
Super built-up  Area,6th Phase JP Nagar,2.0,74.0,2,1192.0,6208.053691275168
Super built-up  Area,6th Phase JP Nagar,2.0,80.0,2,1180.0,6779.661016949152
Super built-up  Area,6th Phase JP Nagar,4.0,250.0,4,3245.0,7704.160246533128
Built-up  Area,6th Phase JP Nagar,3.0,100.0,3,1645.0,6079.0273556231
Built-up  Area,6th Phase JP Nagar,2.0,65.0,2,1140.0,5701.754385964912
Super built-up  Area,6th Phase JP Nagar,3.0,200.0,3,2040.0,9803.921568627451
Super built-up  Area,6th Phase JP Nagar,2.0,63.0,2,1213.0,5193.734542456719
Built-up  Area,6th Phase JP Nagar,2.0,60.0,2,1216.0,4934.210526315789
Super built-up  Area,6th Phase JP Nagar,2.0,80.0,2,1460.0,5479.45205479452
Super built-up  Area,6th Phase JP Nagar,3.0,200.0,3,2003.0,9985.022466300548
Super built-up  Area,6th Phase JP Nagar,3.0,131.0,3,1810.0,7237.5690607734805
Super built-up  Area,6th Phase JP Nagar,2.0,135.0,3,1515.0,8910.89108910891
Super built-up  Area,6th Phase JP Nagar,2.0,75.0,2,1192.0,6291.946308724832
Super built-up  Area,6th Phase JP Nagar,2.0,88.0,2,1280.0,6875.0
Built-up  Area,6th block Koramangala,2.0,110.0,2,1117.0,9847.806624888093
Super built-up  Area,6th block Koramangala,3.0,400.0,3,3000.0,13333.333333333334
Built-up  Area,7th Block Jayanagar,3.0,528.0,5,3000.0,17600.0
Plot  Area,7th Block Jayanagar,3.0,408.0,3,2400.0,17000.0
Built-up  Area,7th Block Jayanagar,2.0,293.0,3,1903.0,15396.741986337362
Built-up  Area,7th Phase JP Nagar,2.0,72.0,2,1080.0,6666.666666666667
Super built-up  Area,7th Phase JP Nagar,2.0,93.0,2,1270.0,7322.834645669292
Built-up  Area,7th Phase JP Nagar,2.0,100.0,3,1420.0,7042.2535211267605
Built-up  Area,7th Phase JP Nagar,3.0,150.0,3,1850.0,8108.108108108108
Built-up  Area,7th Phase JP Nagar,2.0,94.0,2,1245.0,7550.2008032128515
Super built-up  Area,7th Phase JP Nagar,2.0,82.0,2,1175.0,6978.723404255319
Super built-up  Area,7th Phase JP Nagar,2.0,95.0,3,1400.0,6785.714285714285
Super built-up  Area,7th Phase JP Nagar,3.0,160.0,3,2225.0,7191.011235955056
Built-up  Area,7th Phase JP Nagar,2.0,71.0,2,1050.0,6761.9047619047615
Super built-up  Area,7th Phase JP Nagar,2.0,46.0,2,1100.0,4181.818181818182
Built-up  Area,7th Phase JP Nagar,2.0,50.49,2,918.0,5500.0
Super built-up  Area,7th Phase JP Nagar,2.0,100.0,3,1450.0,6896.551724137931
Super built-up  Area,7th Phase JP Nagar,2.0,49.98,2,1190.0,4200.0
Super built-up  Area,7th Phase JP Nagar,2.0,96.0,3,1420.0,6760.56338028169
Super built-up  Area,7th Phase JP Nagar,3.0,120.0,3,1680.0,7142.857142857143
Super built-up  Area,7th Phase JP Nagar,2.0,69.0,2,980.0,7040.816326530612
Super built-up  Area,7th Phase JP Nagar,2.0,72.0,2,1180.0,6101.6949152542375
Built-up  Area,7th Phase JP Nagar,2.0,57.0,3,1050.0,5428.571428571428
Super built-up  Area,7th Phase JP Nagar,2.0,56.41,3,1343.0,4200.297840655249
Super built-up  Area,7th Phase JP Nagar,2.0,59.01,3,1405.0,4200.0
Built-up  Area,7th Phase JP Nagar,3.0,115.0,3,1400.0,8214.285714285714
Super built-up  Area,7th Phase JP Nagar,2.0,83.0,2,1270.0,6535.433070866142
Built-up  Area,7th Phase JP Nagar,4.0,150.0,4,3300.0,4545.454545454545
Super built-up  Area,7th Phase JP Nagar,4.0,188.0,4,2503.0,7510.986815821015
Super built-up  Area,7th Phase JP Nagar,3.0,190.0,3,2200.0,8636.363636363636
Super built-up  Area,7th Phase JP Nagar,3.0,65.0,3,1250.0,5200.0
Super built-up  Area,7th Phase JP Nagar,2.0,58.17,3,1385.0,4200.0
Super built-up  Area,7th Phase JP Nagar,2.0,110.0,3,1575.0,6984.126984126984
Super built-up  Area,7th Phase JP Nagar,3.0,140.0,3,1850.0,7567.5675675675675
Built-up  Area,7th Phase JP Nagar,2.0,120.0,3,1575.0,7619.047619047619
Super built-up  Area,7th Phase JP Nagar,3.0,150.0,3,1850.0,8108.108108108108
Super built-up  Area,7th Phase JP Nagar,3.0,120.0,3,1680.0,7142.857142857143
Super built-up  Area,7th Phase JP Nagar,2.0,82.5,2,1175.0,7021.276595744681
Built-up  Area,7th Phase JP Nagar,4.0,160.0,3,3300.0,4848.484848484848
Plot  Area,7th Phase JP Nagar,4.0,105.0,3,2200.0,4772.727272727273
Super built-up  Area,7th Phase JP Nagar,2.0,90.0,2,1215.0,7407.407407407408
Super built-up  Area,7th Phase JP Nagar,2.0,75.0,2,1050.0,7142.857142857143
Super built-up  Area,7th Phase JP Nagar,3.0,89.13,3,1300.0,6856.153846153846
Super built-up  Area,7th Phase JP Nagar,2.0,73.0,2,1130.0,6460.1769911504425
Super built-up  Area,7th Phase JP Nagar,3.0,100.0,3,1450.0,6896.551724137931
Super built-up  Area,7th Phase JP Nagar,3.0,58.0,3,1350.0,4296.2962962962965
Super built-up  Area,7th Phase JP Nagar,2.0,50.0,2,1050.0,4761.9047619047615
Super built-up  Area,7th Phase JP Nagar,2.0,87.0,2,1275.0,6823.529411764706
Built-up  Area,7th Phase JP Nagar,3.0,70.0,3,1460.0,4794.520547945205
Super built-up  Area,7th Phase JP Nagar,3.0,110.0,3,1650.0,6666.666666666667
Built-up  Area,7th Phase JP Nagar,2.0,42.0,2,850.0,4941.176470588235
Built-up  Area,7th Phase JP Nagar,3.0,117.0,3,1680.0,6964.285714285715
Super built-up  Area,7th Phase JP Nagar,3.0,150.0,3,1850.0,8108.108108108108
Super built-up  Area,7th Phase JP Nagar,2.0,61.33,2,1236.0,4961.974110032363
Super built-up  Area,7th Phase JP Nagar,2.0,53.0,2,1000.0,5300.0
Super built-up  Area,7th Phase JP Nagar,3.0,125.0,3,1680.0,7440.476190476191
Super built-up  Area,7th Phase JP Nagar,2.0,135.0,3,1675.0,8059.701492537313
Super built-up  Area,7th Phase JP Nagar,2.0,59.0,2,1187.0,4970.513900589722
Super built-up  Area,7th Phase JP Nagar,3.0,155.0,3,1850.0,8378.378378378378
Built-up  Area,7th Phase JP Nagar,2.0,61.0,2,1000.0,6100.0
Super built-up  Area,7th Phase JP Nagar,2.0,100.0,3,1460.0,6849.315068493151
Super built-up  Area,7th Phase JP Nagar,3.0,110.0,3,1650.0,6666.666666666667
Super built-up  Area,7th Phase JP Nagar,2.0,62.5,2,1200.0,5208.333333333333
Super built-up  Area,7th Phase JP Nagar,2.0,70.65,2,1000.0,7065.000000000001
Super built-up  Area,7th Phase JP Nagar,2.0,75.0,2,1080.0,6944.444444444444
Built-up  Area,7th Phase JP Nagar,3.0,65.0,3,1415.0,4593.639575971732
Super built-up  Area,7th Phase JP Nagar,3.0,125.0,3,1680.0,7440.476190476191
Super built-up  Area,7th Phase JP Nagar,2.0,97.0,3,1460.0,6643.835616438356
Built-up  Area,7th Phase JP Nagar,2.0,65.0,2,1120.0,5803.571428571428
Super built-up  Area,7th Phase JP Nagar,3.0,60.0,2,1100.0,5454.545454545455
Super built-up  Area,7th Phase JP Nagar,3.0,120.0,3,1790.0,6703.91061452514
Super built-up  Area,7th Phase JP Nagar,3.0,117.0,3,1680.0,6964.285714285715
Super built-up  Area,7th Phase JP Nagar,2.0,77.0,2,1050.0,7333.333333333333
Super built-up  Area,7th Phase JP Nagar,2.0,75.0,2,1050.0,7142.857142857143
Super built-up  Area,7th Phase JP Nagar,2.0,75.0,2,1040.0,7211.538461538462
Super built-up  Area,7th Phase JP Nagar,2.0,95.0,3,1400.0,6785.714285714285
Super built-up  Area,7th Phase JP Nagar,3.0,130.0,3,1800.0,7222.222222222223
Super built-up  Area,7th Phase JP Nagar,2.0,68.0,2,1050.0,6476.190476190476
Built-up  Area,7th Phase JP Nagar,2.0,60.0,2,1000.0,6000.0
Super built-up  Area,7th Phase JP Nagar,3.0,125.0,3,1680.0,7440.476190476191
Super built-up  Area,7th Phase JP Nagar,2.0,77.47,2,1050.0,7378.0952380952385
Super built-up  Area,7th Phase JP Nagar,2.0,80.0,2,1270.0,6299.212598425197
Super built-up  Area,7th Phase JP Nagar,2.0,61.45,3,1463.0,4200.273410799727
Super built-up  Area,7th Phase JP Nagar,3.0,122.0,3,1680.0,7261.9047619047615
Super built-up  Area,7th Phase JP Nagar,2.0,85.0,2,1130.0,7522.123893805309
Super built-up  Area,7th Phase JP Nagar,3.0,130.0,3,1680.0,7738.0952380952385
Built-up  Area,7th Phase JP Nagar,2.0,77.44,2,980.0,7902.040816326531
Super built-up  Area,7th Phase JP Nagar,3.0,112.0,3,1680.0,6666.666666666667
Super built-up  Area,7th Phase JP Nagar,2.0,76.0,3,1515.0,5016.501650165016
Super built-up  Area,7th Phase JP Nagar,3.0,150.0,3,2095.0,7159.904534606205
Super built-up  Area,7th Phase JP Nagar,3.0,145.0,3,1976.0,7338.056680161943
Super built-up  Area,7th Phase JP Nagar,2.0,110.0,3,1600.0,6875.0
Super built-up  Area,7th Phase JP Nagar,3.0,118.0,3,1765.0,6685.552407932011
Built-up  Area,7th Phase JP Nagar,2.0,88.0,3,1275.0,6901.9607843137255
Super built-up  Area,7th Phase JP Nagar,2.0,102.0,3,1450.0,7034.482758620689
Super built-up  Area,7th Phase JP Nagar,2.0,110.0,3,1575.0,6984.126984126984
Built-up  Area,7th Phase JP Nagar,2.0,57.0,3,1075.0,5302.325581395349
Super built-up  Area,7th Phase JP Nagar,1.0,47.0,1,750.0,6266.666666666667
Super built-up  Area,7th Phase JP Nagar,2.0,50.0,2,990.0,5050.50505050505
Plot  Area,7th Phase JP Nagar,1.0,60.0,1,1000.0,6000.0
Super built-up  Area,7th Phase JP Nagar,2.0,92.0,3,1680.0,5476.190476190476
Super built-up  Area,7th Phase JP Nagar,2.0,102.0,3,1430.0,7132.867132867133
Super built-up  Area,7th Phase JP Nagar,2.0,60.0,2,1128.0,5319.148936170212
Built-up  Area,7th Phase JP Nagar,2.0,57.0,2,1140.0,5000.0
Super built-up  Area,7th Phase JP Nagar,3.0,90.0,3,1420.0,6338.028169014085
Super built-up  Area,7th Phase JP Nagar,2.0,108.0,2,1530.0,7058.823529411765
Built-up  Area,8th Block Jayanagar,6.0,300.0,6,2000.0,15000.0
Super built-up  Area,8th Phase JP Nagar,1.0,29.9,1,451.0,6629.711751662971
Super built-up  Area,8th Phase JP Nagar,3.0,43.5,3,1240.0,3508.064516129032
Super built-up  Area,8th Phase JP Nagar,2.0,42.47,2,1062.0,3999.0583804143125
Super built-up  Area,8th Phase JP Nagar,2.0,43.5,3,1230.0,3536.5853658536585
Super built-up  Area,8th Phase JP Nagar,3.0,73.31,3,1455.0,5038.487972508591
Super built-up  Area,8th Phase JP Nagar,2.0,55.0,2,871.0,6314.580941446613
Super built-up  Area,8th Phase JP Nagar,2.0,43.91,2,1098.0,3999.089253187614
Super built-up  Area,8th Phase JP Nagar,3.0,80.0,3,1800.0,4444.444444444444
Built-up  Area,8th Phase JP Nagar,4.0,130.0,4,2700.0,4814.814814814815
Super built-up  Area,8th Phase JP Nagar,2.0,38.0,2,1080.0,3518.5185185185187
Super built-up  Area,8th Phase JP Nagar,2.0,34.5,2,1059.0,3257.790368271955
Super built-up  Area,8th Phase JP Nagar,2.0,35.0,2,1080.0,3240.740740740741
Super built-up  Area,8th Phase JP Nagar,2.0,41.5,3,1275.0,3254.901960784314
Super built-up  Area,8th Phase JP Nagar,2.0,42.47,2,1062.0,3999.0583804143125
Super built-up  Area,8th Phase JP Nagar,1.0,31.0,1,500.0,6200.0
Super built-up  Area,8th Phase JP Nagar,2.0,35.0,2,1100.0,3181.818181818182
Super built-up  Area,8th Phase JP Nagar,4.0,92.0,4,2100.0,4380.952380952381
Super built-up  Area,8th Phase JP Nagar,2.0,39.33,2,1035.0,3800.0
Super built-up  Area,8th Phase JP Nagar,2.0,40.9,2,909.0,4499.4499449945
Built-up  Area,8th Phase JP Nagar,4.0,90.0,3,1900.0,4736.8421052631575
Super built-up  Area,8th Phase JP Nagar,1.0,30.0,1,500.0,6000.0
Super built-up  Area,8th Phase JP Nagar,2.0,36.94,2,1125.0,3283.5555555555557
Super built-up  Area,8th Phase JP Nagar,2.0,35.0,2,1100.0,3181.818181818182
Super built-up  Area,8th Phase JP Nagar,2.0,43.55,2,1089.0,3999.0817263544536
Super built-up  Area,8th Phase JP Nagar,2.0,65.0,3,1605.0,4049.8442367601247
Super built-up  Area,8th Phase JP Nagar,2.0,83.0,3,1504.0,5518.617021276596
Built-up  Area,8th Phase JP Nagar,4.0,115.0,4,2600.0,4423.076923076923
Super built-up  Area,8th Phase JP Nagar,2.0,54.71,3,1368.0,3999.2690058479534
Super built-up  Area,8th Phase JP Nagar,2.0,43.55,2,1089.0,3999.0817263544536
Super built-up  Area,8th Phase JP Nagar,2.0,48.95,3,1224.0,3999.1830065359477
Super built-up  Area,8th Phase JP Nagar,2.0,62.0,2,1513.0,4097.818902842036
Built-up  Area,8th Phase JP Nagar,2.0,59.0,2,1298.0,4545.454545454545
Built-up  Area,8th Phase JP Nagar,2.0,44.0,2,1006.0,4373.75745526839
Carpet  Area,8th Phase JP Nagar,1.0,33.0,1,500.0,6600.0
Super built-up  Area,8th Phase JP Nagar,2.0,95.0,2,1160.0,8189.6551724137935
Super built-up  Area,8th Phase JP Nagar,2.0,59.0,2,1245.0,4738.955823293173
Super built-up  Area,8th Phase JP Nagar,2.0,80.0,2,1510.0,5298.013245033113
Super built-up  Area,8th Phase JP Nagar,3.0,165.0,3,3300.0,5000.0
Built-up  Area,8th Phase JP Nagar,5.0,75.0,5,1730.0,4335.260115606937
Super built-up  Area,8th Phase JP Nagar,2.0,51.83,3,1296.0,3999.2283950617284
Super built-up  Area,8th Phase JP Nagar,3.0,45.0,3,1275.0,3529.4117647058824
Super built-up  Area,8th Phase JP Nagar,2.0,48.0,2,1046.0,4588.910133843212
Super built-up  Area,8th Phase JP Nagar,2.0,50.75,3,1269.0,3999.211977935382
Super built-up  Area,8th Phase JP Nagar,3.0,80.0,3,1408.0,5681.818181818182
Super built-up  Area,8th Phase JP Nagar,2.0,55.0,3,1500.0,3666.6666666666665
Plot  Area,8th block Koramangala,3.0,300.0,3,1846.0,16251.354279523293
Plot  Area,8th block Koramangala,1.0,233.0,2,1410.0,16524.822695035462
Super built-up  Area,8th block Koramangala,2.0,135.0,2,1165.0,11587.982832618025
Plot  Area,8th block Koramangala,3.0,290.0,3,2400.0,12083.333333333334
Plot  Area,9th Block Jayanagar,1.0,150.0,1,700.0,21428.571428571428
Plot  Area,9th Block Jayanagar,4.0,240.0,4,1440.0,16666.666666666668
Super built-up  Area,9th Phase JP Nagar,2.0,50.0,2,1005.0,4975.124378109453
